                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 0.6542,                0.51284,                0.89928,                0.99826,                0.98507,                0.98614,                0.84177,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                0.63888,                0.49587,                0.88875,                0.99954,                0.98507,                0.98629,                0.83167,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                 0.6246,                0.49595,                0.91013,                0.99846,                0.98507,                0.98614,                 0.8587,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                0.62551,                0.50586,                0.91135,                 0.9983,                0.98507,                0.98605,                0.84371,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                0.60875,                0.47781,                0.89847,                0.99857,                0.98507,                  0.986,                0.85482,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                0.61015,                0.47541,                0.88548,                0.99932,                0.98507,                0.98611,                 0.8591,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                0.60843,                0.48088,                0.88105,                0.99865,                0.98507,                0.98623,                0.85731,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                0.61975,                0.47346,                0.89521,                      1,                0.98433,                0.98626,                0.85595,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                0.58076,                0.46592,                 0.8623,                      1,                0.98147,                0.98629,                0.86499,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                0.60565,                0.47908,                 0.8938,                      1,                0.98176,                0.98643,                0.85731,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                     73,                0.55832,                0.45236,                0.87628,                      1,                0.98468,                0.98653,                0.85774,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                0.56872,                0.45219,                0.88258,                0.99747,                0.98507,                0.98678,                0.86737,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                 0.5661,                 0.4337,                0.87663,                0.99914,                0.98507,                0.98639,                0.86045,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     76,                0.57624,                0.44891,                0.87023,                0.99918,                0.98507,                0.98646,                0.87136,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     77,                0.57493,                0.44127,                0.87158,                0.99891,                0.98507,                0.98675,                0.86189,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     78,                0.54927,                0.43886,                0.87923,                      1,                0.98353,                0.98691,                0.86144,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                     79,                 0.5421,                0.42964,                0.86385,                0.99773,                0.98507,                0.98693,                0.86813,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     80,                0.54051,                0.42145,                0.87063,                0.99329,                0.98507,                0.98677,                 0.8552,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                     81,                0.55578,                0.44045,                0.88264,                 0.9946,                0.98507,                0.98697,                0.87487,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     82,                0.57299,                0.45607,                  0.877,                0.99694,                0.98507,                0.98691,                0.87296,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                     83,                0.52861,                0.41452,                0.86459,                0.99739,                0.98507,                0.98722,                0.89027,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     84,                0.50779,                0.40116,                0.85383,                0.99838,                0.98507,                0.98744,                0.88718,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                     85,                0.51293,                 0.4115,                0.84065,                0.99917,                0.98507,                0.98728,                0.88885,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     86,                0.53046,                0.41579,                 0.8599,                 0.9999,                0.98507,                0.98709,                0.87863,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     87,                0.54499,                0.42135,                0.87345,                      1,                0.98272,                0.98693,                  0.877,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     88,                0.53102,                0.41223,                0.84843,                      1,                0.98099,                0.98694,                0.87646,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                     89,                0.48958,                0.38802,                0.85236,                0.98368,                0.98507,                  0.987,                0.87747,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     90,                0.44929,                0.36144,                 0.8206,                      1,                0.98385,                0.98708,                0.87664,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                     91,                0.43951,                0.36529,                0.82565,                0.99885,                0.98507,                0.98676,                0.87388,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     92,                0.42699,                0.35246,                0.83359,                0.99893,                0.98507,                0.98667,                0.87173,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                     93,                0.44841,                0.36755,                0.83038,                0.99957,                0.98507,                0.98659,                0.87658,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     94,                0.43577,                 0.3689,                0.83356,                      1,                0.98473,                0.98669,                0.86832,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                     95,                0.40707,                0.34366,                0.83641,                      1,                0.98412,                0.98676,                 0.8759,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     96,                0.38878,                0.34166,                0.82695,                      1,                 0.9839,                 0.9868,                0.88398,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     97,                 0.3975,                0.33602,                0.81509,                      1,                 0.9837,                0.98692,                0.89103,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                     98,                0.42434,                0.33701,                0.84089,                      1,                0.98354,                0.98696,                0.88917,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                     99,                0.40828,                 0.3376,                0.81464,                0.99821,                0.97015,                0.98691,                0.89466,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
